state.name,county,POP2019,test
California,Shasta County,180080,0
California,Sierra County,3005,0
California,Siskiyou County,43539,0
California,Solano County,447643,0
California,Sonoma County,494336,0
California,Stanislaus County,550660,0
California,Sutter County,96971,0
California,Tehama County,65084,0
California,Trinity County,12285,0
California,Tulare County,466195,0
California,Tuolumne County,54478,0
California,Ventura County,846006,0
California,Yolo County,220500,0
California,Yuba County,78668,0
Colorado,Adams County,517421,0
Colorado,Alamosa County,16233,0
Colorado,Arapahoe County,656590,0
Colorado,Archuleta County,14029,0
Colorado,Baca County,3581,0
Colorado,Bent County,5577,0
Colorado,Boulder County,326196,0
Colorado,Broomfield County,70465,0
Colorado,Chaffee County,20356,0
Colorado,Cheyenne County,1831,0
Colorado,Clear Creek County,9700,0
Colorado,Conejos County,8205,0
Colorado,Costilla County,3887,0
Colorado,Crowley County,6061,0
Colorado,Custer County,5068,0
Colorado,Delta County,31162,0
Colorado,Denver County,727211,0
Colorado,Dolores County,2055,0
Colorado,Douglas County,351154,0
Colorado,Eagle County,55127,0
Colorado,Elbert County,26729,0
Colorado,El Paso County,720403,0
Colorado,Fremont County,47839,0
Colorado,Garfield County,60061,0
Colorado,Gilpin County,6243,0
Colorado,Grand County,15734,0
Colorado,Gunnison County,17462,0
Colorado,Hinsdale County,820,0
Colorado,Huerfano County,6897,0
Colorado,Jackson County,1392,0
Colorado,Jefferson County,582881,0
Colorado,Kiowa County,1406,0
Colorado,Kit Carson County,7097,0
Colorado,Lake County,8127,0
Colorado,La Plata County,56221,0
Colorado,Larimer County,356899,0
Colorado,Las Animas County,14506,0
Colorado,Lincoln County,5701,0
Colorado,Logan County,22409,0
Colorado,Mesa County,154210,0
Colorado,Mineral County,769,0
Colorado,Moffat County,13283,0
Colorado,Montezuma County,26183,0
Colorado,Montrose County,42758,0
Colorado,Morgan County,29068,0
Colorado,Otero County,18278,0
Colorado,Ouray County,4952,0
Colorado,Park County,18845,0
Colorado,Phillips County,4265,0
Colorado,Pitkin County,17767,0
Colorado,Prowers County,12172,0
Colorado,Pueblo County,168424,0
Colorado,Rio Blanco County,6324,0
Colorado,Rio Grande County,11267,0
Colorado,Routt County,25638,0
Colorado,Saguache County,6824,0
Colorado,San Juan County,728,0
Colorado,San Miguel County,8179,0
Colorado,Sedgwick County,2248,0
Colorado,Summit County,31011,0
Colorado,Teller County,25388,0
Colorado,Washington County,4908,0
Colorado,Weld County,324492,0
Colorado,Yuma County,10019,0
Connecticut,Fairfield County,943332,0
Connecticut,Hartford County,891720,0
Connecticut,Litchfield County,180333,0
Connecticut,Middlesex County,162436,0
Connecticut,New Haven County,854757,0
Connecticut,New London County,265206,0
Connecticut,Tolland County,150721,0
Connecticut,Windham County,116782,0
Delaware,Kent County,180786,0
Delaware,New Castle County,558753,0
Delaware,Sussex County,234225,0
District of Columbia,District of Columbia,705749,1
Florida,Alachua County,269043,0
Florida,Baker County,29210,0
Florida,Bay County,174705,0
Florida,Bradford County,28201,0
Florida,Brevard County,601942,0
Florida,Broward County,1952778,0
Florida,Calhoun County,14105,0
Florida,Charlotte County,188910,0
Florida,Citrus County,149657,0
Florida,Clay County,219252,0
Florida,Collier County,384902,0
Florida,Columbia County,71686,0
Florida,DeSoto County,38001,0
Florida,Dixie County,16826,0
Florida,Duval County,957755,0
Florida,Escambia County,318316,0
Florida,Flagler County,115081,0
Florida,Franklin County,12125,0
Florida,Gadsden County,45660,0
Florida,Gilchrist County,18582,0
Florida,Glades County,13811,0
Florida,Gulf County,13639,0
Florida,Hamilton County,14428,0
Florida,Hardee County,26937,0
Florida,Hendry County,42022,0
Florida,Hernando County,193920,0
Florida,Highlands County,106221,0
Florida,Hillsborough County,1471968,0
Florida,Holmes County,19617,0
Florida,Indian River County,159923,0
Florida,Jackson County,46414,0
Florida,Jefferson County,14246,0
Florida,Lafayette County,8422,0
Florida,Lake County,367118,0
Florida,Lee County,770577,0
Florida,Leon County,293582,0
Florida,Levy County,41503,0
Florida,Liberty County,8354,0
Florida,Madison County,18493,0
Florida,Manatee County,403253,0
Florida,Marion County,365579,0
Florida,Martin County,161000,0
Florida,Miami-Dade County,2716940,0
Florida,Monroe County,74228,0
Florida,Nassau County,88625,0
Florida,Okaloosa County,210738,0
Florida,Okeechobee County,42168,0
Florida,Orange County,1393452,0
Florida,Osceola County,375751,0
Florida,Palm Beach County,1496770,0
Florida,Pasco County,553947,0
Florida,Pinellas County,974996,0
Florida,Polk County,724777,0
Florida,Putnam County,74521,0
Florida,St. Johns County,264672,0
Florida,St. Lucie County,328297,0
Florida,Santa Rosa County,184313,0
Florida,Sarasota County,433742,0
Florida,Seminole County,471826,0
Florida,Sumter County,132420,0
Florida,Suwannee County,44417,0
Florida,Taylor County,21569,0
Florida,Union County,15237,0
Florida,Volusia County,553284,0
Florida,Wakulla County,33739,0
Florida,Walton County,74071,0
Florida,Washington County,25473,0
Georgia,Appling County,18386,0
Georgia,Atkinson County,8165,0
Georgia,Bacon County,11164,0
Georgia,Baker County,3038,0
Georgia,Baldwin County,44890,0
Georgia,Banks County,19234,0
Georgia,Barrow County,83240,0
Georgia,Bartow County,107738,0
Georgia,Ben Hill County,16700,0
Georgia,Berrien County,19397,0
Georgia,Bibb County,153159,0
Georgia,Bleckley County,12873,0
Georgia,Brantley County,19109,0
Georgia,Brooks County,15457,0
Georgia,Bryan County,39627,0
Georgia,Bulloch County,79608,0
Georgia,Burke County,22383,0
Georgia,Butts County,24936,0
Georgia,Calhoun County,6189,0
Georgia,Camden County,54666,0
Georgia,Candler County,10803,0
Georgia,Carroll County,119992,0
Georgia,Catoosa County,67580,0
Georgia,Charlton County,13392,0
Georgia,Chatham County,289430,0
Georgia,Chattahoochee County,10907,0
Georgia,Chattooga County,24789,0
Georgia,Cherokee County,258773,0
Georgia,Clarke County,128331,0
Georgia,Clay County,2834,0
Georgia,Clayton County,292256,0
Georgia,Clinch County,6618,0
Georgia,Cobb County,760141,0
Georgia,Coffee County,43273,0
Georgia,Colquitt County,45600,0
Georgia,Columbia County,156714,0
Georgia,Cook County,17270,0
Georgia,Coweta County,148509,0
Georgia,Crawford County,12404,0
Georgia,Crisp County,22372,0
Georgia,Dade County,16116,0
Georgia,Dawson County,26108,0
Georgia,Decatur County,26404,0
Georgia,DeKalb County,759297,0
Georgia,Dodge County,20605,0
Georgia,Dooly County,13390,0
Georgia,Dougherty County,87956,0
Georgia,Douglas County,146343,0
Georgia,Early County,10190,0
Georgia,Echols County,4006,0
Georgia,Effingham County,64296,0
Georgia,Elbert County,19194,0
Georgia,Emanuel County,22646,0
Georgia,Evans County,10654,0
Georgia,Fannin County,26188,0
Georgia,Fayette County,114421,0
Georgia,Floyd County,98498,0
Georgia,Forsyth County,244252,0
Georgia,Franklin County,23349,0
Georgia,Fulton County,1063937,0
Georgia,Gilmer County,31369,0
Georgia,Glascock County,2971,0
Georgia,Glynn County,85292,0
Georgia,Gordon County,57963,0
Georgia,Grady County,24633,0
Georgia,Greene County,18324,0
Georgia,Gwinnett County,936250,0
Georgia,Habersham County,45328,0
Georgia,Hall County,204441,0
Georgia,Hancock County,8457,0
Georgia,Haralson County,29792,0
Georgia,Harris County,35236,0
Georgia,Hart County,26205,0
Georgia,Heard County,11923,0
Georgia,Henry County,234561,0
Georgia,Houston County,157863,0
Georgia,Irwin County,9416,0
Georgia,Jackson County,72977,0
Georgia,Jasper County,14219,0
Georgia,Jeff Davis County,15115,0
Georgia,Jefferson County,15362,0
Georgia,Jenkins County,8676,0
Georgia,Johnson County,9643,0
Georgia,Jones County,28735,0
Georgia,Lamar County,19077,0
Georgia,Lanier County,10423,0
Georgia,Laurens County,47546,0
Georgia,Lee County,29992,0
Georgia,Liberty County,61435,0
Georgia,Lincoln County,7921,0
Georgia,Long County,19559,0
Georgia,Lowndes County,117406,0
Georgia,Lumpkin County,33610,0
Georgia,McDuffie County,21312,0
Georgia,McIntosh County,14378,0
Georgia,Macon County,12947,0
Georgia,Madison County,29880,0
Georgia,Marion County,8359,0
Georgia,Meriwether County,21167,0
Georgia,Miller County,5718,0
Georgia,Mitchell County,21863,0
Georgia,Monroe County,27578,0
Georgia,Montgomery County,9172,0
Georgia,Morgan County,19276,0
Georgia,Murray County,40096,0
Georgia,Muscogee County,195769,0
Georgia,Newton County,111744,0
Georgia,Oconee County,40280,0
Georgia,Oglethorpe County,15259,0
Georgia,Paulding County,168667,0
Georgia,Peach County,27546,0
Georgia,Pickens County,32591,0
Georgia,Pierce County,19465,0
Georgia,Pike County,18962,0
Georgia,Polk County,42613,0
Georgia,Pulaski County,11137,0
Georgia,Putnam County,22119,0
Georgia,Quitman County,2299,0
Georgia,Rabun County,17137,0
Georgia,Randolph County,6778,0
Georgia,Richmond County,202518,0
Georgia,Rockdale County,90896,0
Georgia,Schley County,5257,0
Georgia,Screven County,13966,0
Georgia,Seminole County,8090,0
Georgia,Spalding County,66703,0
Georgia,Stephens County,25925,0
Georgia,Stewart County,6621,0
Georgia,Sumter County,29524,0
Georgia,Talbot County,6195,0
Georgia,Taliaferro County,1537,0
Georgia,Tattnall County,25286,0
Georgia,Taylor County,8020,0
Georgia,Telfair County,15860,0
Georgia,Terrell County,8531,0
Georgia,Thomas County,44451,0
Georgia,Tift County,40644,0
Georgia,Toombs County,26830,0
Georgia,Towns County,12037,0
Georgia,Treutlen County,6901,0
Georgia,Troup County,69922,0
Georgia,Turner County,7985,0
Georgia,Twiggs County,8120,0
Georgia,Union County,24511,0
Georgia,Upson County,26320,0
Georgia,Walker County,69761,0
Georgia,Walton County,94593,0
Georgia,Ware County,35734,0
Georgia,Warren County,5254,0
Georgia,Washington County,20374,0
Georgia,Wayne County,29927,0
Georgia,Webster County,2607,0
Georgia,Wheeler County,7855,0
Georgia,White County,30798,0
Georgia,Whitfield County,104628,0
Georgia,Wilcox County,8635,0
Georgia,Wilkes County,9777,0
Georgia,Wilkinson County,8954,0
Georgia,Worth County,20247,0
Hawaii,Hawaii County,201513,0
Hawaii,Honolulu County,974563,0
Hawaii,Kalawao County,86,0
Hawaii,Kauai County,72293,0
Hawaii,Maui County,167417,0
Idaho,Ada County,481587,0
Idaho,Adams County,4294,0
Idaho,Bannock County,87808,0
Idaho,Bear Lake County,6125,0
Idaho,Benewah County,9298,0
Idaho,Bingham County,46811,0
Idaho,Blaine County,23021,0
Idaho,Boise County,7831,0
Idaho,Bonner County,45739,0
Idaho,Bonneville County,119062,0
Idaho,Boundary County,12245,0
Idaho,Butte County,2597,0
Idaho,Camas County,1106,0
Idaho,Canyon County,229849,0
Idaho,Caribou County,7155,0
Idaho,Cassia County,24030,0
Idaho,Clark County,845,0
Idaho,Clearwater County,8756,0
Idaho,Custer County,4315,0
Idaho,Elmore County,27511,0
Idaho,Franklin County,13876,0
Idaho,Fremont County,13099,0
Idaho,Gem County,18112,0
Idaho,Gooding County,15179,0
Idaho,Idaho County,16667,0
Idaho,Jefferson County,29871,0
Idaho,Jerome County,24412,0
Idaho,Kootenai County,165697,0
Idaho,Latah County,40108,0
Idaho,Lemhi County,8027,0
Idaho,Lewis County,3838,0
Idaho,Lincoln County,5366,0
Idaho,Madison County,39907,0
Idaho,Minidoka County,21039,0
Idaho,Nez Perce County,40408,0
Idaho,Oneida County,4531,0
Idaho,Owyhee County,11823,0
Idaho,Payette County,23951,0
Idaho,Power County,7681,0
Idaho,Shoshone County,12882,0
Idaho,Teton County,12142,0
Idaho,Twin Falls County,86878,0
Idaho,Valley County,11392,0
Idaho,Washington County,10194,0
Illinois,Adams County,65435,0
Illinois,Alexander County,5761,0
Illinois,Bond County,16426,0
Illinois,Boone County,53544,0
Illinois,Brown County,6578,0
Illinois,Bureau County,32628,0
Illinois,Calhoun County,4739,0
Illinois,Carroll County,14305,0
Illinois,Cass County,12147,0
Illinois,Champaign County,209689,0
Illinois,Christian County,32304,0
Illinois,Clark County,15441,0
Illinois,Clay County,13184,0
Illinois,Clinton County,37562,0
Illinois,Coles County,50621,0
Illinois,Cook County,5150233,0
Illinois,Crawford County,18667,0
Illinois,Cumberland County,10766,0
Illinois,DeKalb County,104897,0
Illinois,De Witt County,15638,0
Illinois,Douglas County,19465,0
Illinois,DuPage County,922921,0
Illinois,Edgar County,17161,0
Illinois,Edwards County,6395,0
Illinois,Effingham County,34008,0
Illinois,Fayette County,21336,0
Illinois,Ford County,12961,0
Illinois,Franklin County,38469,0
Illinois,Fulton County,34340,0
Illinois,Gallatin County,4828,0
Illinois,Greene County,12969,0
Illinois,Grundy County,51054,0
Illinois,Hamilton County,8116,0
Illinois,Hancock County,17708,0
Illinois,Hardin County,3821,0
Illinois,Henderson County,6646,0
Illinois,Henry County,48913,0
Illinois,Iroquois County,27114,0
Illinois,Jackson County,56750,0
Illinois,Jasper County,9610,0
Illinois,Jefferson County,37684,0
Illinois,Jersey County,21773,0
Illinois,Jo Daviess County,21235,0
Illinois,Johnson County,12417,0
Illinois,Kane County,532403,0
Illinois,Kankakee County,109862,0
Illinois,Kendall County,128990,0
Illinois,Knox County,49699,0
Illinois,Lake County,696535,0
Illinois,LaSalle County,108669,0
Illinois,Lawrence County,15678,0
Illinois,Lee County,34096,0
